levelId,difficultyTier,solverStatus,secondarySolverStatus,minSolutionMoves,averageBotMoves,botWinRate,deadEndProbability,averageReservePressure,revealCount,hiddenInformationRatio,timePressureRatio,boosterFreeWinProbability,autoClearRisk,readabilityRisk,humanReviewGrade,riskFlags
level_0001,,solved,solved,3,3,1,0,0.5,0,0,140,1,0,0,A,""
level_0002,,solved,solved,8,8.3,1,0,0.5,0,0,52.5,1,0,0,A,""
level_0003,,solved,solved,8,8.3,1,0,0.5,0,0,52.5,1,0,0,A,""
level_0004,,solved,solved,8,8.3,1,0,0.5,0,0,52.5,1,0,0,A,""
level_0005,,solved,solved,16,16.7,1,0,0.67,0,0,26.25,1,0,0,A,""
level_0006,,solved,solved,16,15,1,0,0.7,0,0,26.25,1,0,0,A,""
level_0007,,solved,solved,16,17.7,1,0,0.5,3,0,26.25,1,0,0,A,""
level_0008,,solved,solved,16,17.7,1,0,0.5,3,0,26.25,1,0,0,A,""
level_0009,,solved,solved,32,34,1,0,0.7,6,0,13.125,1,0,0,A,""
level_0010,,solved,solved,32,35.3,1,0,0.67,6,0,13.125,1,0,0,B,""
level_0011,,solved,solved,16,17.7,1,0,0.5,3,0,13.75,1,0,0,A,""
level_0012,,solved,solved,16,17.7,1,0,0.5,3,1,13.75,1,0,0,A,"hidden_info_high"
level_0013,,solved,solved,32,35.3,1,0,0.67,6,1,6.875,1,0,0,A,"hidden_info_high"
level_0014,,solved,solved,16,17.7,1,0,0.5,3,1,13.75,1,0,0,A,"hidden_info_high"
level_0015,,solved,solved,32,35.3,1,0,0.67,6,1,4.6875,1,0,0,B,""
level_0016,,solved,solved,8,7.7,1,0,0.56,0,0,27.5,1,0,0,A,""
level_0017,,solved,solved,8,7.7,1,0,0.56,0,0,27.5,1,0,0,A,""
level_0018,,solved,solved,8,7.7,1,0,0.61,0,0,27.5,1,0,0,A,""
level_0019,,solved,solved,16,16.3,1,0,0.56,3,1,13.75,1,0,0,A,"hidden_info_high"
level_0020,,solved,solved,32,32,0.67,0.33,0.74,6,1,4.6875,0.67,0,0,B,""
level_0021,,solved,solved,11,14,1,0,0.5,3,1,20,1,0,0,A,"hidden_info_high"
level_0022,,solved,solved,11,16,1,0,0.5,3,1,20,1,0,0,A,"hidden_info_high"
level_0023,,solved,solved,16,14,1,0,0.5,3,1,13.75,1,0,0,A,"hidden_info_high"
level_0024,,solved,solved,6,5,1,0,0.5,3,1,36.666666666666664,1,0,0,A,"hidden_info_high"
level_0025,,solved,solved,16,17.7,1,0,0.5,3,1,7.5,1,0,0,B,""
level_0026,,solved,solved,48,48,0.67,0.33,0.67,12,0.5,3.125,0.67,0,0,B,""
level_0027,,solved,solved,24,21.5,0.67,0.33,0.5,6,0.5,6.25,0.67,0,0,B,""
level_0028,,solved,solved,14,15.3,1,0,0.5,6,0.5,10.714285714285714,1,0,0,B,""
level_0029,,solved,solved,24,24,0.67,0.33,0.5,6,0.5,6.25,0.67,0,0,B,""
level_0030,,solved,solved,48,48,0.67,0.33,0.7,12,0.5,3.125,0.67,0,0,B,""
